D:\glo_2102\Datos primero\Naming\MERGE.emrg2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ExperimentName;Subject;Session;Clock.Information;DataFile.Basename;Display.RefreshRate;Edad;ExperimentVersion;Group;PreferenciaManual;RandomSeed;RuntimeVersion;RuntimeVersionExpected;SessionDate;SessionStartDateTimeUtc;SessionTime;Sexo;StudioVersion;Block;bloque1;bloque2;ListContrabalanceo;ListContrabalanceo.Cycle;ListContrabalanceo.Sample;Procedure[Block];Running[Block];Trial;Bloques;info1;info2;info3;ListBloques;ListBloques.Cycle;ListBloques.Sample;ListPract;ListPract.Cycle;ListPract.Sample;Num.ACC[Trial];Num.CRESP[Trial];Num.DurationError[Trial];Num.OnsetDelay[Trial];Num.OnsetTime[Trial];Num.OnsetToOnsetTime[Trial];Num.RESP[Trial];Num.RT[Trial];Num.RTTime[Trial];numero[Trial];Procedure[Trial];Running[Trial];SubTrial;code;lista1;lista2;Listensayos;Listensayos.Cycle;Listensayos.Sample;Num.ACC[SubTrial];Num.CRESP[SubTrial];Num.DurationError[SubTrial];Num.OnsetDelay[SubTrial];Num.OnsetTime[SubTrial];Num.OnsetToOnsetTime[SubTrial];Num.RESP[SubTrial];Num.RT[SubTrial];Num.RTTime[SubTrial];numero[SubTrial];Procedure[SubTrial];Running[SubTrial]
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;11;;;;;;;;6;2;11;0;;-999999;0;174238;0;6;1485;175723;16;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;12;;;;;;;;2;2;12;0;;-999999;0;181907;0;6;992;182899;2;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;13;lista1;Fin del bloque 1.;Vamos a descansar un poquito. ;Avísame cuando quieras seguir. ;1;1;1;;;;;;;;;;;;;;ProcBloque;ListBloques;1;10;10;;1;1;1;0;;-999999;1;240972;0;6;1053;242025;9;ProcEnsayo;Listensayos
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;13;lista1;Fin del bloque 1.;Vamos a descansar un poquito. ;Avísame cuando quieras seguir. ;1;1;1;;;;;;;;;;;;;;ProcBloque;ListBloques;2;9;9;;1;1;2;0;;-999999;0;248273;0;6;880;249153;8;ProcEnsayo;Listensayos
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;13;lista1;Fin del bloque 1.;Vamos a descansar un poquito. ;Avísame cuando quieras seguir. ;1;1;1;;;;;;;;;;;;;;ProcBloque;ListBloques;3;6;6;;1;1;3;0;;-999999;0;255492;0;6;992;256484;5;ProcEnsayo;Listensayos
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;13;lista1;Fin del bloque 1.;Vamos a descansar un poquito. ;Avísame cuando quieras seguir. ;1;1;1;;;;;;;;;;;;;;ProcBloque;ListBloques;4;3;3;;1;1;4;0;;-999999;0;261310;0;6;782;262092;2;ProcEnsayo;Listensayos
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;13;lista1;Fin del bloque 1.;Vamos a descansar un poquito. ;Avísame cuando quieras seguir. ;1;1;1;;;;;;;;;;;;;;ProcBloque;ListBloques;5;4;4;;1;1;5;0;;-999999;0;267995;0;6;692;268687;3;ProcEnsayo;Listensayos
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;13;lista1;Fin del bloque 1.;Vamos a descansar un poquito. ;Avísame cuando quieras seguir. ;1;1;1;;;;;;;;;;;;;;ProcBloque;ListBloques;6;13;13;;1;1;6;0;;-999999;1;273280;0;6;678;273958;12;ProcEnsayo;Listensayos
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;13;lista1;Fin del bloque 1.;Vamos a descansar un poquito. ;Avísame cuando quieras seguir. ;1;1;1;;;;;;;;;;;;;;ProcBloque;ListBloques;7;5;5;;1;1;7;0;;-999999;1;278648;0;6;785;279433;4;ProcEnsayo;Listensayos
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;13;lista1;Fin del bloque 1.;Vamos a descansar un poquito. ;Avísame cuando quieras seguir. ;1;1;1;;;;;;;;;;;;;;ProcBloque;ListBloques;8;18;18;;1;1;8;0;;-999999;0;283849;0;6;1112;284961;17;ProcEnsayo;Listensayos
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;13;lista1;Fin del bloque 1.;Vamos a descansar un poquito. ;Avísame cuando quieras seguir. ;1;1;1;;;;;;;;;;;;;;ProcBloque;ListBloques;9;19;19;;1;1;9;0;;-999999;0;289700;0;6;752;290452;18;ProcEnsayo;Listensayos
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;13;lista1;Fin del bloque 1.;Vamos a descansar un poquito. ;Avísame cuando quieras seguir. ;1;1;1;;;;;;;;;;;;;;ProcBloque;ListBloques;10;7;7;;1;1;10;0;;-999999;0;295285;0;6;1013;296298;6;ProcEnsayo;Listensayos
